id,title,normalized_title,level,category,company,location,salary,full_time,part_time,internship,temporary,updated,collected_at
2233010988437835610,Network Engineer located in Ukraine,network engineer located in ukraine,Middle,System Administrator / Network Engineer,Atlas Technica,Київ,,1,0,0,0,2026-05-04,2026-05-16
-4042713456091612730,SW Backend Engineer,sw backend engineer,Middle,Backend Developer,Hiringwise,Київ,,1,0,0,0,2026-05-14,2026-05-16
-867772354895879371,Data Business analyst,data business analyst,Middle,Business Analyst,MODUS X,Київ,,1,0,0,0,2026-05-11,2026-05-16
8633057803521680238,Senior Golang Developer (with Kubernetes),senior golang developer with kubernetes,Senior,Backend Developer,Synergetica,Київ,,1,0,0,0,2026-04-27,2026-05-16
-557363322058541949,Senior Data Scientist (AI),senior data scientist ai,Senior,ML / AI Engineer,MEGOGO,Київ,,1,0,0,0,2026-04-27,2026-05-16
2926779687193287805,AI Engineer,ai engineer,Middle,ML / AI Engineer,OBRIO,Київ,,1,0,0,0,2026-05-11,2026-05-16
6304935133519924789,Senior Full-stack Developer (Java/React),senior full-stack developer java react,Senior,Full Stack Developer,NewGround,Київ,,1,0,0,0,2026-05-05,2026-05-16
4782728382715871869,iOS Developer,ios developer,Middle,Mobile Developer,Центр інновацій та розвитку оборонних технологій МОУ,Київ,,1,0,0,0,2026-04-24,2026-05-16
-5488149692927100899,Data Analyst,data analyst,Middle,Data Analyst,CRH,Київ,,1,0,0,0,2026-04-27,2026-05-16
2924752664345210074,"Senior Software Engineer (Go, Python)",senior software engineer go python,Senior,Software / Embedded Engineer,CORE Team,Київ,,1,0,0,0,2026-05-08,2026-05-16
1886301698946973484,System Software Engineer (Linux/UAV),system software engineer linux uav,Middle,Software / Embedded Engineer,Net.hunters,Київ,,1,0,0,0,2026-04-20,2026-05-16
-5185112819410288358,Senior Full Stack Engineer,senior full stack engineer,Senior,Full Stack Developer,Simulmedia,Київ,,1,0,0,0,2026-05-02,2026-05-16
-946152127036374267,C/C++ Developer у deftech компанію,c c++ developer у deftech компанію,Middle,Software / Embedded Engineer,ITExpert - IT Recruitment agency,Київ,,1,0,0,0,2026-05-07,2026-05-16
2411972579961334648,AI Engineer,ai engineer,Middle,ML / AI Engineer,SpaceWhale,Київ,,1,0,0,0,2026-05-12,2026-05-16
-158444746208123813,Founding Full Stack AI Engineer,founding full stack ai engineer,Middle,ML / AI Engineer,PRAGMATIKE,Київ,,1,0,0,0,2026-03-25,2026-05-16
-500971525559714575,Middle Full Stack Developer,middle full stack developer,Middle,Full Stack Developer,expla,Київ,,1,0,0,0,2026-05-05,2026-05-16
-70503320597932924,Junior ASP .NET developer,junior asp .net developer,Junior,.NET Developer,Servio Soft,Київ,,1,0,0,0,2026-04-22,2026-05-16
2042998076834463761,Advantive Group | iOS Developer,advantive group ios developer,Middle,Mobile Developer,SD Solutions,Київ,,1,0,0,0,2026-05-12,2026-05-16
4651959466793587105,Middle to Senior Python Backend Engineer,middle to senior python backend engineer,Middle,Backend Developer,Suntech Innovation,Київ,,1,0,0,0,2026-04-24,2026-05-16
6007059891796247355,appflame - Junior QA Manual (Web),appflame - junior qa manual web,Junior,QA Manual Engineer,AF,Київ,,1,0,0,0,2026-05-01,2026-05-16
1258089513445819063,Senior Database Administrator (PostgreSQL),senior database administrator postgresql,Senior,System Administrator / Network Engineer,EPAM Systems,Київ,,1,0,0,0,2026-05-12,2026-05-16
4509430866944125736,Senior Java Engineer (Fleet Mgmt),senior java engineer fleet mgmt,Senior,Java Developer,SIXT,Київ,,1,0,0,0,2026-04-20,2026-05-16
-817202529694116484,Python/C++ Software Engineer,python c++ software engineer,Middle,Software / Embedded Engineer,NDA Recruitment,Київ,,1,0,0,0,2026-05-15,2026-05-16
661854513627308949,Python Engineer,python engineer,Middle,Python Developer,Everstar,Київ,,1,0,0,0,2026-04-27,2026-05-16
-6882219690399475052,System Administrator (Microsoft Exchange),system administrator microsoft exchange,Middle,System Administrator / Network Engineer,Luxoft,Київ,,1,0,0,0,2026-05-13,2026-05-16
-6457741877337625572,Staff Platform Engineer,staff platform engineer,Middle,DevOps / SRE Engineer,Preply,Київ,,1,0,0,0,2026-05-15,2026-05-16
