id,title,company,location,salary,type,source,link,snippet,updated,collected_at
686403595735820293,Копірайтер,Liberty,Київ,700 - 1 800 $,Повний робочий день,jooble,https://ua.jooble.org/jdp/686403595735820293,"Шукаєш онлайн-роботу, яку легко поєднати з навчанням або іншими справами? деталі тут МИ НЕ ВИКОРИСТОВУЄМО БОТ В ТЕЛЕГРАМ ДЛЯ ПРАЦЕВЛАШТУВАННЯ НАША РОБОТА НЕ ПОТРЕБУЄ ВКЛАДЕНЬ!! Що потрібно робити: ~робота з текстами та повідомленнями ~Написання текстів Від тебе...",2026-05-18,2026-05-18
-5526812570146460210,Embedded Software Engineer,Quantum- Systems GmbH,Київ,,Повний робочий день,recruitee.com,https://ua.jooble.org/jdp/-5526812570146460210,"...-motivated and drive your area of responsibility independently Due to your open, communicative, friendly, and competent attitude, it is easy for you to be considered as an internal expert English level at least B2 Why Quantum-Systems: We Stand with Ukraine...",2026-05-13,2026-05-18
8870257616132808558,QA Engineer (UAV),STARK Defence,Київ,,,dou.ua,https://ua.jooble.org/jdp/8870257616132808558,"18 травня 2026 deftech QA Engineer (UAV) Київ About Us STARK is a new kind of defence technology company revolutionising the way autonomous systems are deployed across multiple domains. We design, develop, and manufacture high-performance unmanned systems...",2026-05-18,2026-05-18
8998669342314635942,MilitaryOps Engineer (System Integration & Support),Technо,Київ,1 000 - 2 500 $,,dou.ua,https://ua.jooble.org/jdp/8998669342314635942,"30 квітня 2026 deftech бронювання MilitaryOps Engineer (System Integration & Support) Київ Робота в офісі, віддалена робота на жаль не можлива. Локація: Київ, офіс- синя гiлка, біля станції метро. Бронювання: надаємо з першого дня Ми — украї...",2026-04-30,2026-05-18
6415696943943015715,Data Analyst — Headquarter,SKELAR,Київ,,,dou.ua,https://ua.jooble.org/jdp/6415696943943015715,"23 квітня 2026 Data Analyst — Headquarter Київ, віддалено SKELAR — український венчур білдер, який будує міжнародні tech-бізнеси. Разом із ко-фаундерами збираємо сильні команди, щоб перемагати на глобальних ринках. У портфелі SKELAR — десятки бізнесів...",2026-04-23,2026-05-18
-831046430676805017,Pricing Management Lead,Uklon,Київ,,,dou.ua,https://ua.jooble.org/jdp/-831046430676805017,"13 травня 2026 Pricing Management Lead Київ Uklon — продуктова IT-компанія, що розробляє провідний райд-хейлінг сервіс. Щодня потужна команда Uklon прокачує одну з найбільших інфраструктур на ринку України та за її межами, забезпечуючи взаємодію драйверів...",2026-05-13,2026-05-18
-310961842070111243,Data Analyst (Data Governance team),Raiffeisen Bank Ukraine,Київ,,Повний робочий день,workable.com,https://ua.jooble.org/jdp/-310961842070111243,"...and building the banking system of our country. Raiffeisen employs more than 5,000 employees, including one of the largest product IT teams, which includes 900+ specialists. Every day, we work side by side so that more than 2.5 million of our clients can receive...",2026-04-09,2026-05-18
8606998474811976592,Senior/Lead .NET Software Engineer (AWS),EPAM,Київ,,,dou.ua,https://ua.jooble.org/jdp/8606998474811976592,"6 травня 2026 Senior/Lead .NET Software Engineer (AWS) Київ, Харків, Львів, Дніпро, Одеса, Вінниця, Івано-Франківськ, Хмельницький, Ужгород, Черкаси, Чернівці, віддалено We are seeking a Senior .NET Software Engineer (AWS) to join an AI agentic modernization...",2026-05-06,2026-05-18
-4244374194400895518,UI/UX Product-дизайнер,TG Lab,Київ,1 300 - 1 500 $,,dou.ua,https://ua.jooble.org/jdp/-4244374194400895518,"11 травня 2026 deftech бронювання UI/UX Product-дизайнер Київ Шукаємо UI/UX-дизайнера на проєкт, який об’єднує передові технології з практичним застосуванням у реальних умовах. Ти працюватимеш над інтерфейсами систем управління, аналітичних панелей...",2026-05-11,2026-05-18
-3309675950876998533,Data Analyst,Центр інновацій та розвитку оборонних технологій МОУ,Київ,,,dou.ua,https://ua.jooble.org/jdp/-3309675950876998533,"24 квітня 2026 deftech сили оборони Data Analyst Київ Центр інновацій та розвитку оборонних технологій Міністерства оборони України — підрозділ, що розробляє цифрові рішення для Сил оборони та поєднує найкращих фахівців цивільного ІТ і військових професіоналів...",2026-04-24,2026-05-18
